time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.593000,-0.0949,-0.0450,-0.0199,0.107
0.599000,-0.1515,-0.0778,0.0829,0.189
0.604000,-0.1475,-0.1066,0.0984,0.207
0.609000,-0.1146,-0.0133,0.0611,0.131
0.614000,-0.0999,-0.0631,0.0463,0.127
0.619000,-0.1182,-0.0782,0.0600,0.154
0.620000,-0.1186,-0.0695,0.0511,0.147
0.624000,-0.1140,-0.0973,0.0740,0.167
0.629000,-0.0909,-0.0477,0.1071,0.148
0.634000,-0.1313,-0.0411,0.0669,0.153
0.639000,-0.0779,-0.0823,0.0881,0.144
0.644000,-0.1441,-0.1070,0.1028,0.207
0.650000,-0.0928,-0.0900,0.0671,0.146
0.657000,-0.1353,-0.0438,0.0697,0.158
0.659000,-0.1289,-0.0681,0.0654,0.160
0.665000,-0.0833,-0.0607,0.0787,0.130
0.669000,-0.1116,-0.0646,0.0391,0.135
0.674000,-0.1270,-0.0384,0.1036,0.168
0.680000,-0.1100,-0.0721,0.0905,0.160
0.686000,-0.1265,-0.1100,0.0802,0.186
0.689000,-0.1012,-0.0283,0.1239,0.162
0.694000,-0.1081,-0.0701,0.0524,0.139
0.699000,-0.1046,-0.0261,0.0988,0.146
0.704000,-0.1085,-0.0526,0.0421,0.128
0.709000,-0.1263,-0.1123,0.1195,0.207
0.714000,-0.1059,-0.0786,0.0665,0.148
0.720000,-0.1253,-0.0442,0.0430,0.140
0.725000,-0.1190,-0.1060,0.1018,0.189
0.729000,-0.0877,-0.0571,0.0997,0.145
0.735000,-0.1058,-0.0423,0.0515,0.125
0.739000,-0.1167,-0.0541,0.0417,0.135
0.745000,-0.1049,-0.0813,0.0498,0.142
0.750000,-0.1203,-0.0548,0.0508,0.142
0.754000,-0.1352,-0.0638,0.0297,0.152
0.760000,-0.1327,-0.0822,0.0648,0.169
0.764000,-0.1279,-0.0886,0.0532,0.164
0.775000,-0.1231,-0.0852,0.0885,0.174
0.776000,-0.1266,-0.0638,0.0397,0.147
0.780000,-0.1063,-0.0398,0.0690,0.133
0.785000,-0.1321,-0.0984,0.0582,0.175
0.790000,-0.1160,-0.0750,0.0432,0.145
0.794000,-0.1125,-0.0779,0.0617,0.150
0.800000,-0.1246,-0.0792,0.0611,0.160
0.804000,-0.1227,-0.0631,0.0930,0.166
0.810000,-0.1218,-0.0560,0.0825,0.157
0.815000,-0.1340,-0.1036,0.0755,0.185
0.820000,-0.1161,-0.0643,0.0586,0.145
0.827000,-0.1005,-0.0750,0.0957,0.158
0.830000,-0.1260,-0.0629,0.1035,0.175
0.834000,-0.1156,-0.0557,0.0637,0.143
0.840000,-0.1044,-0.0430,0.0833,0.140
0.845000,-0.0949,-0.0644,0.0615,0.130
0.850000,-0.1249,-0.0693,0.0595,0.155
0.855000,-0.1161,-0.0496,0.0721,0.145
0.860000,-0.1088,-0.0413,0.0669,0.134
0.865000,-0.1196,-0.0597,0.1118,0.174
0.870000,-0.0759,-0.0721,0.0800,0.132
0.875000,-0.1266,-0.0432,0.0584,0.146
0.880000,-0.1300,-0.1050,0.0902,0.190
0.885000,-0.1349,-0.0764,0.0910,0.180
0.890000,-0.1215,-0.0876,0.0968,0.178
0.895000,-0.0911,-0.0666,0.0568,0.126
0.900000,-0.1337,-0.0749,0.0612,0.165
0.905000,-0.1086,-0.0485,0.0689,0.137
0.910000,-0.1212,-0.0781,0.0812,0.166
0.915000,-0.1123,-0.0733,0.0618,0.148
0.921000,-0.1006,-0.0581,0.0668,0.134
0.925000,-0.1133,-0.0437,0.0811,0.146
0.930000,-0.1100,-0.0665,0.0399,0.135
0.935000,-0.1112,-0.0814,0.0231,0.140
0.943000,-0.0975,-0.0799,0.1102,0.167
0.947000,-0.1405,-0.0569,0.1151,0.190
0.950000,-0.1078,-0.0755,0.0609,0.145
0.955000,-0.0493,-0.0872,0.1185,0.155
0.961000,-0.0752,-0.0814,0.1526,0.189
0.965000,-0.1027,-0.0827,0.0771,0.153
0.970000,-0.0716,-0.0626,0.0723,0.119
0.975000,-0.0882,-0.0909,0.0724,0.146
0.980000,-0.1195,-0.0323,0.0735,0.144
0.986000,-0.1093,-0.0501,0.0500,0.130
0.990000,-0.1064,-0.0406,0.0589,0.128
0.995000,-0.1356,-0.0633,0.0687,0.165
1.000000,-0.1249,-0.0642,0.0280,0.143
1.006000,-0.1135,-0.0604,0.0473,0.137
1.010000,-0.1122,-0.0672,0.0500,0.140
1.015000,-0.1051,-0.0906,0.0426,0.145
1.021000,-0.1025,-0.0472,0.0515,0.124
1.026000,-0.1060,-0.0407,0.0624,0.130
1.030000,-0.1245,-0.0769,0.0754,0.165
1.036000,-0.1077,-0.0996,0.0897,0.172
1.044000,-0.1317,-0.0665,0.0838,0.170
1.045000,-0.1458,-0.0608,0.0628,0.170
1.051000,-0.1190,-0.0883,0.0690,0.163
1.056000,-0.1008,-0.0685,0.0847,0.148
1.060000,-0.1243,-0.0290,0.0494,0.137
1.065000,-0.1163,-0.0732,0.0877,0.163
1.071000,-0.1041,-0.0786,0.0704,0.148
1.076000,-0.0994,-0.0858,0.0704,0.149
1.081000,-0.1175,-0.0837,0.0828,0.166
1.086000,-0.1009,-0.0985,0.0779,0.161
1.091000,-0.1078,-0.0563,0.0844,0.148
1.096000,-0.0851,-0.0504,0.0955,0.138
1.101000,-0.0821,-0.0278,0.0572,0.104
1.105000,-0.0947,-0.0564,0.0777,0.135
1.111000,-0.0853,-0.0855,0.0323,0.125
1.115000,-0.0723,-0.0543,0.0453,0.101
1.120000,-0.1035,-0.0332,0.0762,0.133
1.126000,-0.1218,-0.0845,0.0827,0.170
1.131000,-0.1406,-0.1128,0.0936,0.203
1.135000,-0.1600,-0.0910,0.0555,0.192
1.141000,-0.1342,-0.0667,0.0685,0.165
1.146000,-0.1292,-0.0261,0.0830,0.156
1.151000,-0.1209,-0.0404,0.0278,0.130
1.157000,-0.0758,-0.0476,0.0283,0.094
1.161000,-0.0787,-0.0767,0.0550,0.123
1.166000,-0.0751,-0.0683,0.1053,0.146
1.171000,-0.0939,-0.0325,0.0995,0.141
1.176000,-0.1001,-0.0424,0.0351,0.114
1.181000,-0.0870,-0.0611,0.0519,0.118
1.187000,-0.0922,-0.0501,0.0561,0.119
1.196000,-0.1007,-0.0843,0.0412,0.138
1.197000,-0.1111,-0.0749,0.0499,0.143
1.201000,-0.1139,-0.0588,0.0441,0.136
1.206000,-0.0890,-0.1018,0.0564,0.147
1.211000,-0.0679,-0.0671,0.0586,0.112
1.216000,-0.0922,-0.0291,0.0564,0.112
1.221000,-0.1091,-0.0535,0.0604,0.136
1.226000,-0.1183,-0.0664,0.0604,0.149
1.232000,-0.1347,-0.0448,0.0604,0.154
1.236000,-0.1242,-0.0196,0.0797,0.149
1.242000,-0.0927,-0.0475,0.0471,0.114
1.246000,-0.1029,-0.0603,0.0398,0.126
