time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,0.4341,-0.1413,0.2880,0.540
0.007000,0.4324,-0.1098,0.1752,0.479
0.007000,0.4447,-0.1045,0.2353,0.514
0.008000,0.4606,-0.1190,0.3772,0.607
0.020000,0.4419,-0.1316,0.3737,0.593
0.020000,0.4640,-0.0870,0.4182,0.631
0.022000,0.4948,-0.0787,0.4447,0.670
0.027000,0.4647,-0.1014,0.2754,0.550
0.032000,0.4532,-0.1146,0.1566,0.493
0.037000,0.4433,-0.0969,0.1652,0.483
0.052000,0.4554,-0.0576,0.1189,0.474
0.053000,0.4527,-0.0898,0.1494,0.485
0.053000,0.4378,-0.0827,0.2454,0.509
0.057000,0.4191,-0.0874,0.2502,0.496
0.066000,0.4187,-0.1154,0.2761,0.515
0.067000,0.4358,-0.1227,0.3389,0.566
0.072000,0.4402,-0.1226,0.3088,0.551
0.080000,0.4382,-0.1455,0.2518,0.526
0.083000,0.4409,-0.1548,0.2885,0.549
0.087000,0.4456,-0.1222,0.2656,0.533
0.092000,0.4588,-0.1001,0.2982,0.556
0.097000,0.4664,-0.0953,0.4373,0.646
0.102000,0.4917,-0.1073,0.4579,0.680
0.107000,0.4871,-0.1031,0.3751,0.623
0.112000,0.4685,-0.1044,0.3428,0.590
0.117000,0.4388,-0.0987,0.1894,0.488
0.122000,0.4319,-0.1024,0.1039,0.456
0.127000,0.4311,-0.1180,0.1919,0.486
0.132000,0.3983,-0.1410,0.2468,0.489
0.137000,0.3794,-0.1771,0.3264,0.531
0.143000,0.3980,-0.1911,0.4252,0.613
0.147000,0.4019,-0.1516,0.3346,0.545
0.152000,0.3933,-0.1508,0.2551,0.492
0.157000,0.4115,-0.1560,0.2754,0.519
0.162000,0.4553,-0.1147,0.2901,0.552
0.167000,0.4560,-0.1213,0.3066,0.563
0.173000,0.4645,-0.1069,0.3673,0.602
0.187000,0.4480,-0.0966,0.3959,0.606
0.188000,0.4605,-0.1319,0.3676,0.604
0.188000,0.4831,-0.1226,0.3488,0.608
0.193000,0.4675,-0.0799,0.2694,0.545
0.198000,0.4598,-0.0421,0.1881,0.499
0.203000,0.4306,-0.0459,0.1743,0.467
0.207000,0.4313,-0.0793,0.1253,0.456
0.212000,0.4207,-0.0958,0.1174,0.447
0.217000,0.3899,-0.1151,0.2542,0.479
0.222000,0.4043,-0.1532,0.3203,0.538
0.227000,0.4258,-0.1747,0.3154,0.558
0.233000,0.4213,-0.1534,0.3396,0.562
0.238000,0.4163,-0.1153,0.2855,0.518
0.243000,0.4305,-0.1031,0.2015,0.486
0.248000,0.4495,-0.1080,0.2227,0.513
0.253000,0.4548,-0.0805,0.2567,0.528
0.257000,0.4863,-0.0711,0.2568,0.555
0.263000,0.5014,-0.0755,0.3161,0.598
0.268000,0.4667,-0.0640,0.3560,0.590
0.272000,0.4767,-0.1030,0.3210,0.584
0.280000,0.4662,-0.1118,0.2549,0.543
0.283000,0.4256,-0.1053,0.2097,0.486
0.288000,0.4222,-0.1287,0.2057,0.487
0.293000,0.4007,-0.1347,0.2883,0.512
0.298000,0.3891,-0.1580,0.3476,0.545
0.303000,0.4037,-0.1673,0.3564,0.564
0.308000,0.3894,-0.1403,0.3738,0.558
0.313000,0.3877,-0.1418,0.3215,0.523
0.318000,0.4165,-0.1658,0.2652,0.521
0.323000,0.4475,-0.1509,0.2528,0.536
0.332000,0.4509,-0.1331,0.2509,0.533
0.333000,0.4441,-0.1125,0.2761,0.535
0.338000,0.4568,-0.0887,0.2864,0.546
0.343000,0.4716,-0.0858,0.3353,0.585
0.348000,0.4576,-0.0983,0.3655,0.594
0.353000,0.4477,-0.0711,0.3238,0.557
0.358000,0.4219,-0.0821,0.3068,0.528
0.363000,0.4049,-0.1116,0.2370,0.482
0.368000,0.3971,-0.1238,0.2251,0.473
0.373000,0.4008,-0.1325,0.2853,0.510
0.378000,0.4108,-0.1479,0.2902,0.524
0.386000,0.3962,-0.1432,0.2993,0.517
0.388000,0.4215,-0.1237,0.3190,0.543
0.393000,0.4370,-0.1267,0.2966,0.543
0.398000,0.4302,-0.1433,0.2682,0.527
0.403000,0.4480,-0.0927,0.2328,0.513
0.408000,0.4585,-0.0677,0.1719,0.494
0.413000,0.4765,-0.0468,0.1704,0.508
0.419000,0.4695,-0.1042,0.2410,0.538
0.423000,0.4625,-0.1078,0.3340,0.581
0.434000,0.4767,-0.0702,0.3456,0.593
0.434000,0.4637,-0.1105,0.3304,0.580
0.438000,0.4367,-0.1099,0.2932,0.537
0.444000,0.4615,-0.1107,0.3108,0.567
0.453000,0.4401,-0.1256,0.2680,0.530
0.454000,0.3944,-0.0985,0.2444,0.474
0.458000,0.3865,-0.1100,0.2944,0.498
0.463000,0.3976,-0.1480,0.3849,0.573
0.468000,0.3992,-0.1237,0.3404,0.539
0.473000,0.3889,-0.1381,0.2973,0.509
0.479000,0.4290,-0.1379,0.2963,0.539
0.484000,0.4338,-0.1321,0.3051,0.547
0.488000,0.4402,-0.1032,0.2314,0.508
0.493000,0.4453,-0.0968,0.2577,0.523
0.498000,0.4405,-0.1057,0.3043,0.546
0.503000,0.4458,-0.1066,0.3567,0.581
0.508000,0.4586,-0.0795,0.4102,0.620
0.514000,0.4319,-0.1162,0.3615,0.575
0.519000,0.4210,-0.1133,0.3178,0.540
0.523000,0.4373,-0.1080,0.3025,0.543
0.531000,0.4088,-0.1172,0.2431,0.490
0.534000,0.4113,-0.1419,0.2239,0.489
0.539000,0.3905,-0.1520,0.3184,0.526
0.544000,0.4077,-0.1206,0.3348,0.541
0.550000,0.4037,-0.1422,0.3234,0.536
0.554000,0.4088,-0.1023,0.2760,0.504
0.559000,0.4420,-0.1076,0.2616,0.525
