2450737.500000000, A.D. 1997-Oct-16 00:00:00.0000, -4.650878289807521E-03,  1.466448806228447E-02,  3.619813208279898E-04,
2450738.000000000, A.D. 1997-Oct-16 12:00:00.0000, -4.859427164293785E-03,  1.464847771660576E-02,  3.505526623404255E-04,
2450738.500000000, A.D. 1997-Oct-17 00:00:00.0000, -5.026041068007636E-03,  1.460662465978605E-02,  3.456328757226435E-04,
2450739.000000000, A.D. 1997-Oct-17 12:00:00.0000, -5.178565155026858E-03,  1.455610122899544E-02,  3.428379594223132E-04,
2450739.500000000, A.D. 1997-Oct-18 00:00:00.0000, -5.324349017052595E-03,  1.450123372610762E-02,  3.409929331153326E-04,
2450740.000000000, A.D. 1997-Oct-18 12:00:00.0000, -5.466210541752525E-03,  1.444361830736870E-02,  3.396475798791527E-04,
2450740.500000000, A.D. 1997-Oct-19 00:00:00.0000, -5.605461351829564E-03,  1.438398422881567E-02,  3.385928732336569E-04,
2450741.000000000, A.D. 1997-Oct-19 12:00:00.0000, -5.742795906325738E-03,  1.432271368404821E-02,  3.377182103793597E-04,
2450741.500000000, A.D. 1997-Oct-20 00:00:00.0000, -5.878616258396894E-03,  1.426002763357410E-02,  3.369595157000355E-04,
2450742.000000000, A.D. 1997-Oct-20 12:00:00.0000, -6.013171095821408E-03,  1.419606367879579E-02,  3.362770801814141E-04,
2450742.500000000, A.D. 1997-Oct-21 00:00:00.0000, -6.146622258884480E-03,  1.413091272204402E-02,  3.356449783565522E-04,
2450743.000000000, A.D. 1997-Oct-21 12:00:00.0000, -6.279079365945878E-03,  1.406463781225317E-02,  3.350455659121489E-04,
2450743.500000000, A.D. 1997-Oct-22 00:00:00.0000, -6.410619078117021E-03,  1.399728452562020E-02,  3.344664208422565E-04,
2450744.000000000, A.D. 1997-Oct-22 12:00:00.0000, -6.541296411483024E-03,  1.392888701135834E-02,  3.338985483497368E-04,
2450744.500000000, A.D. 1997-Oct-23 00:00:00.0000, -6.671151682871262E-03,  1.385947167858783E-02,  3.333352791153081E-04,
2450745.000000000, A.D. 1997-Oct-23 12:00:00.0000, -6.800214937947557E-03,  1.378905953336806E-02,  3.327715671333138E-04,
2450745.500000000, A.D. 1997-Oct-24 00:00:00.0000, -6.928508866328210E-03,  1.371766770977130E-02,  3.322035275590479E-04,
2450746.000000000, A.D. 1997-Oct-24 12:00:00.0000, -7.056050774646678E-03,  1.364531050194419E-02,  3.316281239436042E-04,
2450746.500000000, A.D. 1997-Oct-25 00:00:00.0000, -7.182853954737119E-03,  1.357200007733376E-02,  3.310429513603905E-04,
2450747.000000000, A.D. 1997-Oct-25 12:00:00.0000, -7.308928652815187E-03,  1.349774698051799E-02,  3.304460827685370E-04,
2450747.500000000, A.D. 1997-Oct-26 00:00:00.0000, -7.434282769118153E-03,  1.342256049613745E-02,  3.298359580848266E-04,
2450748.000000000, A.D. 1997-Oct-26 12:00:00.0000, -7.558922365851923E-03,  1.334644891840052E-02,  3.292113023472636E-04,
2450748.500000000, A.D. 1997-Oct-27 00:00:00.0000, -7.682852062383197E-03,  1.326941974185600E-02,  3.285710657669989E-04,
2450749.000000000, A.D. 1997-Oct-27 12:00:00.0000, -7.806075321820938E-03,  1.319147981259253E-02,  3.279143776212870E-04,
2450749.500000000, A.D. 1997-Oct-28 00:00:00.0000, -7.928594663554991E-03,  1.311263544817962E-02,  3.272405105143290E-04,
2450750.000000000, A.D. 1997-Oct-28 12:00:00.0000, -8.050411839294874E-03,  1.303289252357310E-02,  3.265488534542661E-04,
2450750.500000000, A.D. 1997-Oct-29 00:00:00.0000, -8.171527966864756E-03,  1.295225654070710E-02,  3.258388905351348E-04,
2450751.000000000, A.D. 1997-Oct-29 12:00:00.0000, -8.291943635743508E-03,  1.287073268360132E-02,  3.251101840899956E-04,
2450751.500000000, A.D. 1997-Oct-30 00:00:00.0000, -8.411658991025977E-03,  1.278832586242829E-02,  3.243623612583025E-04,
2450752.000000000, A.D. 1997-Oct-30 12:00:00.0000, -8.530673800736818E-03,  1.270504074907967E-02,  3.235951031869279E-04,
2450752.500000000, A.D. 1997-Oct-31 00:00:00.0000, -8.648987302820016E-03,  1.262088280338110E-02,  3.228090571542508E-04,
2450753.000000000, A.D. 1997-Oct-31 12:00:00.0000, -8.766599078652321E-03,  1.253585430785941E-02,  3.220021458819997E-04,
2450753.500000000, A.D. 1997-Nov-01 00:00:00.0000, -8.883507845162683E-03,  1.244996037092818E-02,  3.211750870213764E-04,
2450754.000000000, A.D. 1997-Nov-01 12:00:00.0000, -8.999712313881077E-03,  1.236320495428710E-02,  3.203277047731846E-04,
2450754.500000000, A.D. 1997-Nov-02 00:00:00.0000, -9.115211008062169E-03,  1.227559188397324E-02,  3.194598467242441E-04,
2450755.000000000, A.D. 1997-Nov-02 12:00:00.0000, -9.230002283005396E-03,  1.218712486203951E-02,  3.185713804806446E-04,
2450755.500000000, A.D. 1997-Nov-03 00:00:00.0000, -9.344084342972047E-03,  1.209780747651351E-02,  3.176621908389025E-04,
2450756.000000000, A.D. 1997-Nov-03 12:00:00.0000, -9.457455255316223E-03,  1.200764320995118E-02,  3.167321773972749E-04,
2450756.500000000, A.D. 1997-Nov-04 00:00:00.0000, -9.570112962322130E-03,  1.191663544683557E-02,  3.157812525293214E-04,
2450757.000000000, A.D. 1997-Nov-04 12:00:00.0000, -9.682055291142732E-03,  1.182478748002222E-02,  3.148093396569884E-04,
2450757.500000000, A.D. 1997-Nov-05 00:00:00.0000, -9.793279962159521E-03,  1.173210251639338E-02,  3.138163717729196E-04,
