2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000, -1.218630521146007E-03, -7.964152267535579E-03,  5.753628452935504E-03,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000, -1.218623124880603E-03, -7.964127914800539E-03,  5.753610980542219E-03,
2453757.500000000, A.D. 2006-Jan-22 00:00:00.0000, -1.218615730412949E-03, -7.964103566856132E-03,  5.753593511620367E-03,
2453758.500000000, A.D. 2006-Jan-23 00:00:00.0000, -1.218608337742736E-03, -7.964079223692187E-03,  5.753576046168719E-03,
2453759.500000000, A.D. 2006-Jan-24 00:00:00.0000, -1.218600946869916E-03, -7.964054885304129E-03,  5.753558584186228E-03,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000, -1.218593557794027E-03, -7.964030551694362E-03,  5.753541125672064E-03,
2453761.500000000, A.D. 2006-Jan-26 00:00:00.0000, -1.218586170513976E-03, -7.964006222870012E-03,  5.753523670625541E-03,
2453762.500000000, A.D. 2006-Jan-27 00:00:00.0000, -1.218578785028324E-03, -7.963981898838193E-03,  5.753506219045963E-03,
2453763.500000000, A.D. 2006-Jan-28 00:00:00.0000, -1.218571401335853E-03, -7.963957579601333E-03,  5.753488770932487E-03,
2453764.500000000, A.D. 2006-Jan-29 00:00:00.0000, -1.218564019436031E-03, -7.963933265154882E-03,  5.753471326284071E-03,
2453765.500000000, A.D. 2006-Jan-30 00:00:00.0000, -1.218556639329121E-03, -7.963908955488760E-03,  5.753453885099512E-03,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000, -1.218549261015803E-03, -7.963884650592104E-03,  5.753436447377612E-03,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000, -1.218541884496467E-03, -7.963860350459111E-03,  5.753419013117339E-03,
2453768.500000000, A.D. 2006-Feb-02 00:00:00.0000, -1.218534509770556E-03, -7.963836055092637E-03,  5.753401582317928E-03,
2453769.500000000, A.D. 2006-Feb-03 00:00:00.0000, -1.218527136836356E-03, -7.963811764502709E-03,  5.753384154978817E-03,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -1.218519765691532E-03, -7.963787478699223E-03,  5.753366731099398E-03,
2453771.500000000, A.D. 2006-Feb-05 00:00:00.0000, -1.218512396334296E-03, -7.963763197682191E-03,  5.753349310678740E-03,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000, -1.218505028764592E-03, -7.963738921436696E-03,  5.753331893715459E-03,
2453773.500000000, A.D. 2006-Feb-07 00:00:00.0000, -1.218497662984325E-03, -7.963714649941271E-03,  5.753314480208044E-03,
2453774.500000000, A.D. 2006-Feb-08 00:00:00.0000, -1.218490298995889E-03, -7.963690383191733E-03,  5.753297070155648E-03,
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000, -1.218482936799947E-03, -7.963666121220380E-03,  5.753279663558613E-03,
2453776.500000000, A.D. 2006-Feb-10 00:00:00.0000, -1.218475576397636E-03, -7.963641864041318E-03,  5.753262260416431E-03,
2453777.500000000, A.D. 2006-Feb-11 00:00:00.0000, -1.218468217741261E-03, -7.963617611560291E-03,  5.753244860728035E-03,
2453778.500000000, A.D. 2006-Feb-12 00:00:00.0000, -1.218460860954419E-03, -7.963593363933996E-03,  5.753227464494741E-03,
2453779.500000000, A.D. 2006-Feb-13 00:00:00.0000, -1.218453505920656E-03, -7.963569121053012E-03,  5.753210071705403E-03,
2453780.500000000, A.D. 2006-Feb-14 00:00:00.0000, -1.218446152664854E-03, -7.963544882938571E-03,  5.753192682367569E-03,
2453781.500000000, A.D. 2006-Feb-15 00:00:00.0000, -1.218438801173836E-03, -7.963520649561191E-03,  5.753175296481037E-03,
2453782.500000000, A.D. 2006-Feb-16 00:00:00.0000, -1.218431451460545E-03, -7.963496420917772E-03,  5.753157914044096E-03,
2453783.500000000, A.D. 2006-Feb-17 00:00:00.0000, -1.218424103538250E-03, -7.963472197018285E-03,  5.753140535054801E-03,
2453784.500000000, A.D. 2006-Feb-18 00:00:00.0000, -1.218416757408559E-03, -7.963447977872436E-03,  5.753123159511819E-03,
2453785.500000000, A.D. 2006-Feb-19 00:00:00.0000, -1.218409413065209E-03, -7.963423763485094E-03,  5.753105787414553E-03,
2453786.500000000, A.D. 2006-Feb-20 00:00:00.0000, -1.218402070502178E-03, -7.963399553857478E-03,  5.753088418762702E-03,
2453787.500000000, A.D. 2006-Feb-21 00:00:00.0000, -1.218394729717762E-03, -7.963375348988755E-03,  5.753071053555730E-03,
2453788.500000000, A.D. 2006-Feb-22 00:00:00.0000, -1.218387390713399E-03, -7.963351148875416E-03,  5.753053691792642E-03,
2453789.500000000, A.D. 2006-Feb-23 00:00:00.0000, -1.218380053490742E-03, -7.963326953510394E-03,  5.753036333472216E-03,
2453790.500000000, A.D. 2006-Feb-24 00:00:00.0000, -1.218372718050585E-03, -7.963302762885370E-03,  5.753018978593352E-03,
2453791.500000000, A.D. 2006-Feb-25 00:00:00.0000, -1.218365384393586E-03, -7.963278576996491E-03,  5.753001627155205E-03,
2453792.500000000, A.D. 2006-Feb-26 00:00:00.0000, -1.218358052545457E-03, -7.963254395842037E-03,  5.752984279158604E-03,
2453793.500000000, A.D. 2006-Feb-27 00:00:00.0000, -1.218350722420414E-03, -7.963230219425360E-03,  5.752966934600436E-03,
2453794.500000000, A.D. 2006-Feb-28 00:00:00.0000, -1.218343394100809E-03, -7.963206047758475E-03,  5.752949593481082E-03,
2453795.500000000, A.D. 2006-Mar-01 00:00:00.0000, -1.218336067557516E-03, -7.963181880845145E-03,  5.752932255799542E-03,
