time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012000,-0.0572,0.3961,0.2197,0.457
0.013000,-0.0524,0.3912,0.3629,0.536
0.015000,-0.0096,0.4054,0.2632,0.483
0.015000,-0.0760,0.3626,0.2579,0.451
0.016000,-0.0530,0.4142,0.3713,0.559
0.018000,-0.0763,0.4340,0.3587,0.568
0.019000,-0.0346,0.3781,0.2317,0.445
0.019000,-0.0993,0.4330,0.3600,0.572
0.020000,-0.0590,0.4113,0.3307,0.531
0.023000,-0.0579,0.3967,0.3158,0.510
0.027000,-0.0764,0.3917,0.3338,0.520
0.032000,-0.0679,0.3547,0.3668,0.515
0.037000,-0.1226,0.3395,0.2626,0.446
0.047000,-0.0703,0.3341,0.2944,0.451
0.048000,-0.0905,0.4340,0.2916,0.531
0.052000,-0.0874,0.3847,0.2733,0.480
0.057000,-0.0963,0.4359,0.2813,0.528
0.062000,-0.0472,0.3852,0.3133,0.499
0.067000,-0.0441,0.3951,0.3468,0.528
0.072000,-0.1111,0.4048,0.3221,0.529
0.077000,-0.0314,0.3655,0.3068,0.478
0.082000,-0.1046,0.4290,0.3013,0.535
0.087000,-0.0582,0.4034,0.3142,0.515
0.092000,-0.0626,0.4094,0.2846,0.502
0.097000,-0.0855,0.3924,0.2862,0.493
0.102000,-0.0484,0.3645,0.3041,0.477
0.107000,-0.0446,0.3794,0.3101,0.492
0.112000,-0.0749,0.3726,0.3539,0.519
0.117000,-0.0180,0.3890,0.3154,0.501
0.122000,-0.0501,0.4295,0.3149,0.535
0.127000,-0.0591,0.4166,0.3111,0.523
0.132000,-0.0256,0.4188,0.2637,0.496
0.137000,-0.0598,0.3895,0.2918,0.490
0.142000,-0.0730,0.4067,0.3300,0.529
0.147000,-0.0782,0.3844,0.2966,0.492
0.152000,-0.0664,0.3979,0.3334,0.523
0.157000,-0.0562,0.3793,0.3059,0.491
0.163000,-0.0840,0.3719,0.2885,0.478
0.167000,-0.0801,0.4166,0.2990,0.519
0.173000,-0.0581,0.4155,0.3092,0.521
0.178000,-0.0508,0.4102,0.3188,0.522
0.183000,-0.1073,0.3809,0.2874,0.489
0.187000,-0.0643,0.3964,0.2737,0.486
0.193000,-0.1077,0.3473,0.3047,0.474
0.198000,-0.0406,0.4426,0.2944,0.533
0.203000,-0.0706,0.4259,0.3075,0.530
0.208000,-0.0911,0.3868,0.3346,0.519
0.213000,-0.0576,0.3764,0.3433,0.513
0.218000,-0.0544,0.3638,0.3163,0.485
0.223000,-0.0159,0.3966,0.3343,0.519
0.228000,-0.0549,0.4078,0.3432,0.536
0.233000,-0.0612,0.4282,0.3010,0.527
0.238000,-0.0564,0.4128,0.2914,0.508
0.243000,-0.0516,0.3772,0.2836,0.475
0.248000,-0.0700,0.3855,0.2741,0.478
0.253000,-0.0361,0.3700,0.2915,0.472
0.259000,-0.0383,0.4227,0.3268,0.536
0.263000,-0.0452,0.4140,0.2849,0.505
0.268000,-0.0575,0.3735,0.2950,0.479
