time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.3045,-0.2683,-0.0661,0.411
0.005000,-0.4170,0.2310,0.1536,0.501
0.005000,0.1076,-0.2083,0.0688,0.244
0.009000,0.2189,0.0383,0.0652,0.232
0.012000,-0.0663,-0.1030,0.0759,0.144
0.018000,0.0712,-0.0103,0.0903,0.115
0.021000,0.0793,-0.0492,0.0531,0.107
0.027000,0.0163,-0.0337,0.0830,0.091
0.032000,0.0750,-0.0560,0.0703,0.117
0.037000,0.0688,-0.0382,0.0751,0.109
0.043000,0.0487,-0.0608,0.0781,0.110
0.047000,0.0880,-0.0557,0.0941,0.140
0.052000,0.0592,-0.0751,0.1129,0.148
0.065000,0.0604,-0.0727,0.1208,0.153
0.066000,0.0663,-0.0501,0.0905,0.123
0.067000,0.0521,-0.0452,0.1221,0.140
0.072000,0.0689,-0.0485,0.1383,0.162
0.077000,0.0521,-0.0413,0.1078,0.127
0.082000,0.0502,-0.0345,0.0868,0.106
0.087000,0.0978,-0.0495,0.0838,0.138
0.092000,0.0866,-0.0378,0.0978,0.136
0.097000,0.0722,-0.0427,0.0911,0.124
0.102000,0.0635,-0.0065,0.0952,0.115
0.107000,0.0562,-0.0274,0.1014,0.119
0.112000,0.0383,-0.0548,0.0817,0.106
0.117000,0.0598,-0.0231,0.0734,0.097
0.122000,0.0503,-0.0511,0.1006,0.124
0.127000,0.0510,-0.0481,0.0714,0.100
0.132000,0.0617,-0.0712,0.1022,0.139
0.137000,0.0461,-0.0390,0.1059,0.122
0.144000,0.0740,-0.0645,0.0646,0.118
0.147000,0.0467,-0.0488,0.0625,0.092
0.152000,0.0435,-0.0408,0.0791,0.099
0.158000,0.0913,-0.0704,0.0875,0.145
0.162000,0.0867,-0.0237,0.0863,0.125
0.167000,0.0314,-0.0578,0.0836,0.106
0.172000,0.0409,-0.0267,0.1106,0.121
0.177000,0.0366,-0.0217,0.0838,0.094
0.182000,0.0146,-0.0313,0.0922,0.098
0.187000,0.0722,-0.0408,0.1003,0.130
0.200000,0.0944,-0.0514,0.1106,0.154
0.201000,0.0681,-0.0656,0.1066,0.142
0.202000,0.0966,-0.0746,0.1395,0.185
0.208000,0.0552,-0.0650,0.1099,0.139
0.213000,0.0327,-0.0544,0.0616,0.088
0.218000,0.0913,-0.0493,0.0818,0.132
0.222000,0.0484,-0.0620,0.0946,0.123
0.227000,0.0280,-0.0220,0.0788,0.086
0.232000,0.0754,-0.0297,0.1006,0.129
0.237000,0.0524,-0.0823,0.0881,0.131
0.244000,0.0551,-0.0543,0.1047,0.130
0.248000,0.0648,-0.0759,0.0614,0.117
0.252000,0.0578,-0.0500,0.0611,0.098
0.258000,0.0608,-0.0528,0.0695,0.106
0.263000,0.0541,-0.1036,0.0462,0.126
0.268000,0.0422,-0.0483,0.0840,0.106
0.273000,0.0558,-0.0339,0.0958,0.116
0.284000,0.1040,-0.0609,0.0858,0.148
0.284000,0.0395,-0.0719,0.0482,0.095
0.288000,0.0706,-0.0442,0.1006,0.131
0.293000,0.0643,-0.0274,0.1128,0.133
0.298000,0.0592,-0.0434,0.0543,0.091
0.303000,0.0885,-0.0477,0.0668,0.121
0.308000,0.0553,-0.0704,0.0940,0.130
0.313000,0.0699,-0.0580,0.1066,0.140
0.318000,0.0624,-0.0431,0.0884,0.116
0.323000,0.0632,-0.0865,0.0930,0.142
0.335000,0.0481,-0.0339,0.0520,0.079
0.335000,0.0748,-0.0621,0.0833,0.128
0.338000,0.0423,-0.0547,0.1272,0.145
0.345000,0.0718,-0.0422,0.1368,0.160
0.348000,0.0710,-0.0827,0.0898,0.141
0.353000,0.0414,0.0084,0.0803,0.091
0.358000,0.0689,-0.0018,0.0707,0.099
0.363000,0.0793,-0.0432,0.0657,0.112
0.368000,0.0392,-0.0416,0.0938,0.110
0.373000,0.0828,-0.0576,0.1123,0.151
0.378000,0.0576,-0.0258,0.0890,0.109
0.383000,0.0586,-0.0723,0.0775,0.121
0.388000,0.0681,-0.0337,0.1207,0.143
0.393000,0.0754,-0.0384,0.0896,0.123
0.398000,0.0607,-0.0766,0.1198,0.155
0.403000,0.0420,-0.0315,0.1162,0.128
0.408000,0.0337,-0.0566,0.0806,0.104
0.413000,0.0808,-0.0471,0.0777,0.122
0.418000,0.0702,-0.0426,0.1322,0.156
0.423000,0.0530,-0.0830,0.0579,0.114
0.429000,0.0989,0.0036,0.0623,0.117
0.434000,0.0181,-0.0611,0.0666,0.092
0.438000,0.0598,0.0101,0.1178,0.133
0.445000,0.0814,-0.0440,0.0940,0.132
0.449000,0.0715,-0.0506,0.1342,0.160
0.453000,0.0585,-0.0226,0.1316,0.146
0.458000,0.0652,-0.0757,0.0913,0.135
0.463000,0.0977,-0.0593,0.0961,0.149
0.468000,0.0359,-0.0136,0.1016,0.109
0.473000,0.0632,-0.0954,0.1185,0.165
0.478000,0.0638,-0.0891,0.0911,0.142
0.483000,0.0780,-0.0463,0.0897,0.128
0.488000,0.0909,-0.0116,0.0599,0.109
0.494000,0.0677,-0.0674,0.1190,0.153
0.498000,0.0635,-0.0792,0.0953,0.139
0.503000,0.0729,-0.0143,0.0766,0.107
0.508000,0.0812,-0.0161,0.0711,0.109
0.513000,0.0441,-0.0858,0.0390,0.104
0.519000,0.0450,-0.0673,0.0677,0.106
0.523000,0.0959,-0.0760,0.1005,0.158
0.531000,0.0205,-0.0245,0.0912,0.097
0.535000,0.0258,-0.0439,0.1008,0.113
0.539000,0.0779,-0.0818,0.1102,0.158
0.539000,0.0639,-0.0436,0.1055,0.131
0.545000,0.0494,-0.0342,0.1055,0.121
0.549000,0.0303,-0.0627,0.0864,0.111
0.553000,0.0446,-0.0486,0.1338,0.149
0.558000,0.0305,-0.0293,0.0585,0.072
0.563000,0.0395,-0.0527,0.0481,0.082
0.569000,0.0864,-0.0013,0.0903,0.125
0.574000,0.0639,-0.0471,0.0911,0.121
0.579000,0.0680,0.0032,0.0537,0.087
0.584000,0.0868,-0.0516,0.0993,0.142
0.589000,0.0782,-0.0485,0.0914,0.130
0.595000,0.0548,-0.0437,0.0957,0.119
0.599000,0.1003,0.0027,0.0913,0.136
0.604000,0.0605,-0.0415,0.0130,0.074
0.609000,0.0954,-0.0573,0.0921,0.144
0.614000,0.0743,-0.0853,0.0457,0.122
0.619000,0.0460,-0.0410,0.1159,0.131
0.624000,0.0763,-0.0250,0.1380,0.160
0.629000,0.0329,-0.0512,0.1074,0.123
0.634000,0.0527,-0.0618,0.0695,0.107
0.639000,0.0768,-0.0265,0.0896,0.121
0.645000,0.0783,-0.0687,0.0911,0.138
0.649000,0.0514,-0.0585,0.0644,0.101
0.654000,0.0584,-0.0752,0.0712,0.119
0.659000,0.0415,-0.0148,0.0984,0.108
0.669000,0.0928,-0.0314,0.0963,0.137
0.672000,0.0711,-0.0553,0.0433,0.100
0.674000,0.0775,-0.0355,0.0297,0.090
0.679000,0.0870,-0.0594,0.1028,0.147
0.684000,0.0966,-0.0536,0.0973,0.147
0.689000,0.0715,-0.0701,0.0959,0.139
0.699000,0.0560,-0.0159,0.0916,0.109
0.702000,0.0502,-0.0696,0.1469,0.170
0.704000,0.0880,-0.1020,0.0978,0.166
0.709000,0.0841,-0.0284,0.0996,0.133
0.714000,0.0153,-0.0527,0.0837,0.100
0.719000,0.0614,-0.0487,0.0731,0.107
0.729000,0.0603,-0.0223,0.0635,0.090
0.732000,0.0758,-0.0270,0.1421,0.163
0.735000,0.0615,-0.0323,0.1157,0.135
0.739000,0.0799,-0.0830,0.0644,0.132
0.744000,0.0580,-0.0366,0.0825,0.107
0.750000,0.0790,-0.0117,0.0615,0.101
0.758000,0.0459,-0.0463,0.1235,0.140
0.761000,0.0688,-0.0688,0.1137,0.150
0.766000,0.0693,-0.0470,0.0939,0.126
0.769000,0.0563,-0.0429,0.0870,0.112
0.774000,0.0663,-0.0428,0.1025,0.129
0.779000,0.0562,-0.0509,0.0933,0.120
0.790000,0.0539,-0.0402,0.0991,0.120
0.794000,0.0497,-0.0581,0.0886,0.117
0.796000,0.0529,-0.0579,0.0623,0.100
0.800000,0.0896,-0.0332,0.0854,0.128
0.805000,0.0493,-0.0442,0.1069,0.126
0.809000,0.0355,-0.0119,0.1260,0.131
0.814000,0.0229,-0.0556,0.0979,0.115
0.824000,0.0478,-0.0274,0.0715,0.090
0.826000,0.0773,-0.0499,0.0867,0.126
0.830000,0.0593,-0.0727,0.0716,0.118
0.835000,0.0230,-0.0492,0.0904,0.105
0.840000,0.0464,-0.0659,0.0843,0.117
0.845000,0.0692,-0.0754,0.0854,0.133
0.856000,0.0463,-0.0648,0.0633,0.102
0.857000,0.0701,-0.0504,0.0728,0.113
0.860000,0.0666,-0.0399,0.0957,0.123
0.865000,0.0484,-0.0151,0.0704,0.087
0.870000,0.0368,-0.0127,0.0774,0.087
0.875000,0.0572,-0.0135,0.0965,0.113
0.885000,0.0634,-0.0620,0.0969,0.131
0.888000,0.0709,-0.0682,0.1107,0.148
0.890000,0.0730,-0.0622,0.0373,0.103
0.895000,0.0877,-0.0648,0.0218,0.111
0.902000,0.0629,-0.0292,0.0681,0.097
0.907000,0.0685,-0.0692,0.0778,0.125
0.917000,0.0693,-0.0305,0.0876,0.116
0.919000,0.0681,-0.0422,0.0621,0.101
0.922000,0.0860,-0.0910,0.1069,0.165
0.925000,0.0453,-0.0644,0.1282,0.150
0.931000,0.0762,-0.0049,0.0829,0.113
0.935000,0.0529,-0.0247,0.1027,0.118
0.946000,0.0395,-0.0264,0.0937,0.105
0.949000,0.0500,-0.0475,0.0969,0.119
0.954000,0.0608,-0.0458,0.0971,0.123
0.955000,0.0562,-0.0560,0.0924,0.122
0.960000,0.0675,-0.0472,0.0945,0.125
0.964000,0.0726,-0.0698,0.0785,0.128
0.970000,0.0692,-0.0424,0.1134,0.139
0.979000,0.0542,-0.0554,0.0778,0.110
0.982000,0.0487,-0.1142,0.0678,0.141
0.985000,0.0148,-0.0855,0.0651,0.108
0.990000,0.0352,-0.0662,0.0725,0.104
0.995000,0.0729,-0.0526,0.0801,0.120
1.000000,0.0491,-0.0637,0.0613,0.101
1.010000,0.0784,-0.0576,0.0896,0.132
1.013000,0.0470,-0.0550,0.1188,0.139
1.018000,0.0882,-0.0463,0.1080,0.147
1.021000,0.0633,-0.0585,0.0841,0.120
1.025000,0.0691,-0.0627,0.0931,0.132
1.030000,0.0791,-0.0252,0.1366,0.160
1.041000,0.0677,-0.0083,0.0752,0.102
1.045000,0.0372,-0.0277,0.0513,0.069
1.046000,0.0378,-0.0370,0.1027,0.115
1.051000,0.0504,-0.0724,0.1214,0.150
1.055000,0.0537,-0.0453,0.0655,0.096
1.060000,0.0537,-0.0389,0.0734,0.099
1.074000,0.0380,-0.0502,0.0816,0.103
1.076000,0.0519,-0.0172,0.1113,0.124
1.079000,0.0570,-0.0305,0.1012,0.120
1.082000,0.0631,-0.0595,0.0863,0.122
