time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.0005,0.0045,0.2254,0.225
0.007000,0.0064,-0.0009,0.3574,0.357
0.007000,0.0169,0.0020,0.3943,0.395
0.014000,0.0264,0.0241,0.3599,0.362
0.015000,0.0171,0.0531,0.3207,0.326
0.018000,-0.0079,0.0571,0.2760,0.282
0.025000,0.0225,0.0870,0.2754,0.290
0.028000,0.0275,0.0643,0.3118,0.320
0.033000,0.0414,0.0464,0.2801,0.287
0.038000,0.0170,0.0150,0.2951,0.296
0.056000,0.0163,0.0179,0.3028,0.304
0.057000,0.0216,0.0045,0.2678,0.269
0.057000,0.0174,0.0197,0.2022,0.204
0.058000,0.0151,0.0392,0.1428,0.149
0.063000,0.0093,0.0432,0.1270,0.135
0.068000,0.0085,0.0468,0.1868,0.193
0.081000,0.0011,0.0364,0.2686,0.271
0.081000,0.0071,0.0306,0.3019,0.304
0.083000,0.0075,0.0095,0.3596,0.360
0.088000,0.0167,0.0222,0.3545,0.356
0.099000,0.0202,0.0304,0.3225,0.325
0.099000,0.0489,0.0512,0.2764,0.285
0.103000,0.0647,0.0465,0.2605,0.272
0.115000,0.0522,0.0288,0.2782,0.284
0.116000,0.0518,0.0340,0.2824,0.289
0.118000,0.0544,0.0109,0.3151,0.320
0.132000,-0.0052,0.0475,0.2727,0.277
0.132000,-0.0146,0.0627,0.2329,0.242
0.133000,0.0120,0.0207,0.2361,0.237
0.139000,-0.0004,-0.0325,0.1866,0.189
0.148000,-0.0165,-0.0070,0.1436,0.145
0.149000,-0.0146,0.0204,0.1541,0.156
0.153000,-0.0132,-0.0048,0.2649,0.265
0.169000,-0.0358,0.0307,0.3250,0.328
0.169000,0.0024,0.0428,0.3667,0.369
0.170000,-0.0102,0.0198,0.3531,0.354
0.181000,0.0207,0.0237,0.3531,0.355
0.181000,-0.0108,0.0459,0.3182,0.322
0.183000,-0.0053,0.0296,0.2379,0.240
0.188000,0.0070,0.0266,0.2634,0.265
0.198000,0.0475,0.0371,0.2786,0.285
0.198000,0.0339,0.0204,0.3036,0.306
0.203000,0.0059,-0.0114,0.2747,0.275
0.214000,0.0048,0.0360,0.2380,0.241
0.215000,-0.0061,0.0582,0.2226,0.230
0.218000,-0.0238,0.0473,0.1996,0.207
0.231000,-0.0036,0.0330,0.1507,0.154
0.231000,0.0087,0.0106,0.1841,0.185
0.234000,-0.0292,-0.0245,0.2407,0.244
0.239000,0.0152,-0.0107,0.3113,0.312
0.248000,0.0219,0.0266,0.2576,0.260
0.249000,0.0037,0.0324,0.3620,0.363
0.254000,0.0284,0.0140,0.3392,0.341
0.268000,0.0270,0.0489,0.2846,0.290
0.268000,0.0250,0.0436,0.1758,0.183
0.269000,-0.0013,0.0447,0.2734,0.277
0.282000,0.0190,0.0325,0.2549,0.258
0.282000,0.0017,0.0612,0.2316,0.240
0.284000,0.0147,0.0292,0.2459,0.248
0.289000,-0.0062,0.0193,0.2642,0.265
0.299000,0.0004,-0.0349,0.2698,0.272
0.300000,-0.0062,0.0263,0.1911,0.193
0.304000,-0.0149,0.0371,0.1902,0.194
0.315000,-0.0069,0.0269,0.1069,0.110
0.316000,-0.0214,0.0549,0.2066,0.215
0.319000,-0.0158,0.0142,0.3362,0.337
0.324000,-0.0106,0.0467,0.3952,0.398
0.333000,-0.0190,0.0636,0.3328,0.339
0.334000,0.0058,0.0354,0.3657,0.367
0.339000,0.0436,0.0554,0.3235,0.331
0.349000,0.0206,0.0681,0.2551,0.265
0.349000,0.0422,0.0399,0.1827,0.192
0.354000,0.0301,0.0762,0.2467,0.260
0.368000,0.0309,0.0522,0.2706,0.277
0.368000,0.0370,0.0311,0.2952,0.299
0.370000,0.0373,0.0320,0.3104,0.314
0.384000,-0.0307,0.0543,0.2566,0.264
0.384000,-0.0251,0.0187,0.2472,0.249
0.385000,-0.0354,0.0224,0.2201,0.224
0.390000,0.0071,-0.0052,0.2516,0.252
0.401000,0.0328,0.0051,0.2204,0.223
0.401000,-0.0145,0.0158,0.2700,0.271
0.404000,0.0054,0.0097,0.3314,0.332
0.416000,-0.0008,0.0593,0.3773,0.382
0.416000,0.0210,0.0854,0.3363,0.348
0.419000,0.0553,0.0900,0.2770,0.296
0.424000,0.0256,0.0905,0.2398,0.258
0.433000,0.0266,0.0582,0.2137,0.223
0.434000,0.0327,0.0304,0.2128,0.217
0.450000,0.0103,-0.0205,0.2448,0.246
0.450000,0.0031,0.0279,0.2644,0.266
0.450000,0.0124,0.0309,0.2900,0.292
0.454000,-0.0191,-0.0209,0.3250,0.326
0.467000,0.0098,0.0258,0.2772,0.279
0.467000,-0.0531,0.0151,0.2318,0.238
0.469000,-0.0156,0.0433,0.2157,0.221
0.474000,0.0086,0.0127,0.2372,0.238
0.484000,-0.0147,0.0168,0.2864,0.287
0.485000,0.0281,0.0124,0.2905,0.292
0.490000,0.0036,0.0130,0.2891,0.289
0.502000,0.0338,0.0164,0.3303,0.332
0.502000,0.0158,0.0022,0.2728,0.273
0.505000,0.0150,0.0616,0.2866,0.294
0.518000,-0.0011,-0.0085,0.2118,0.212
0.519000,-0.0478,0.0414,0.2571,0.265
0.520000,0.0232,0.0351,0.2551,0.259
0.525000,-0.0259,-0.0018,0.3146,0.316
0.539000,0.0050,-0.0064,0.3094,0.309
0.539000,-0.0305,-0.0064,0.2871,0.289
0.540000,0.0154,-0.0064,0.1739,0.175
0.550000,-0.0033,-0.0065,0.2702,0.270
0.551000,-0.0126,-0.0108,0.2087,0.209
0.555000,-0.0133,0.0080,0.1777,0.178
0.567000,-0.0406,0.0134,0.2804,0.284
0.568000,0.0256,0.0563,0.2155,0.224
0.570000,0.0255,0.1080,0.3339,0.352
0.575000,-0.0076,0.0511,0.3288,0.333
0.585000,0.0306,0.0606,0.2334,0.243
0.585000,0.0165,0.0653,0.2047,0.216
0.585000,0.0165,0.0177,0.2379,0.239
0.590000,0.0401,0.0554,0.2239,0.234
0.600000,0.0307,-0.0059,0.2380,0.240
0.601000,0.0354,-0.0020,0.3512,0.353
0.605000,0.0122,-0.0349,0.2499,0.253
0.616000,0.0211,0.0390,0.3038,0.307
0.617000,0.0352,0.0222,0.3099,0.313
0.620000,0.0357,0.0214,0.2497,0.253
