time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,0.2320,-0.1949,0.1680,0.346
0.007000,0.2335,-0.1908,0.1506,0.337
0.007000,0.2499,-0.1814,0.1930,0.364
0.007000,0.2325,-0.1780,0.2093,0.360
0.011000,0.2176,-0.1931,0.2208,0.365
0.016000,0.2207,-0.2054,0.2904,0.419
0.026000,0.2097,-0.2306,0.3048,0.436
0.028000,0.2189,-0.2475,0.2865,0.437
0.031000,0.2326,-0.2022,0.3212,0.445
0.036000,0.2192,-0.1815,0.3316,0.437
0.041000,0.2137,-0.1640,0.3163,0.416
0.046000,0.1960,-0.1686,0.2806,0.382
0.056000,0.1912,-0.1860,0.3099,0.409
0.060000,0.1897,-0.1545,0.3002,0.387
0.062000,0.2002,-0.1432,0.2486,0.350
0.066000,0.1907,-0.1632,0.1865,0.313
0.071000,0.1924,-0.2011,0.1444,0.314
0.076000,0.2150,-0.2069,0.1426,0.331
0.085000,0.2269,-0.1733,0.1590,0.327
0.088000,0.2089,-0.1960,0.1987,0.349
0.091000,0.1957,-0.2118,0.2856,0.406
0.096000,0.2111,-0.2194,0.2623,0.402
0.101000,0.2461,-0.2178,0.2693,0.425
0.114000,0.2560,-0.1916,0.3035,0.441
0.117000,0.2247,-0.2005,0.2999,0.425
0.120000,0.2056,-0.1895,0.2898,0.403
0.122000,0.2088,-0.1905,0.3050,0.416
0.126000,0.2144,-0.1953,0.2603,0.390
0.131000,0.1742,-0.1623,0.2613,0.353
0.136000,0.1924,-0.1484,0.3004,0.386
0.141000,0.2284,-0.1399,0.2118,0.341
0.151000,0.2379,-0.1587,0.1519,0.324
0.152000,0.2361,-0.2265,0.2084,0.388
0.156000,0.2268,-0.2218,0.1943,0.372
0.161000,0.2617,-0.2522,0.2056,0.418
0.166000,0.2490,-0.2301,0.2061,0.397
0.171000,0.2391,-0.2013,0.3060,0.437
0.182000,0.2409,-0.2116,0.3045,0.442
0.183000,0.2357,-0.2427,0.3225,0.467
0.186000,0.2440,-0.2389,0.3337,0.477
0.191000,0.2360,-0.2371,0.2596,0.423
0.196000,0.2247,-0.2010,0.2658,0.402
0.201000,0.2141,-0.1783,0.2550,0.378
0.212000,0.2032,-0.1444,0.2351,0.343
0.214000,0.2165,-0.1437,0.2849,0.386
0.217000,0.2236,-0.1366,0.2790,0.383
0.222000,0.2281,-0.1726,0.2374,0.372
0.227000,0.1960,-0.2031,0.2075,0.350
0.232000,0.1966,-0.1990,0.1911,0.339
0.243000,0.2122,-0.1845,0.1617,0.324
0.246000,0.2312,-0.1885,0.1585,0.338
0.248000,0.2358,-0.2225,0.2084,0.385
0.251000,0.2138,-0.2198,0.2934,0.424
0.258000,0.2169,-0.2360,0.3482,0.473
0.262000,0.2153,-0.2193,0.3060,0.434
0.273000,0.2254,-0.2146,0.3147,0.443
0.275000,0.1950,-0.1947,0.3115,0.416
0.278000,0.2223,-0.1290,0.2306,0.345
0.282000,0.2032,-0.1672,0.2294,0.349
0.287000,0.2058,-0.1659,0.2150,0.341
0.293000,0.1745,-0.1710,0.2357,0.340
0.297000,0.2209,-0.1660,0.2978,0.406
0.306000,0.2063,-0.1844,0.2824,0.395
0.309000,0.2086,-0.2033,0.2555,0.388
0.312000,0.2157,-0.1563,0.2378,0.357
0.317000,0.2221,-0.2098,0.2931,0.423
0.322000,0.2505,-0.2459,0.2202,0.414
0.327000,0.2668,-0.2149,0.2524,0.426
0.337000,0.2436,-0.2133,0.2992,0.441
0.339000,0.2390,-0.2258,0.2997,0.445
0.342000,0.2353,-0.2278,0.3211,0.459
0.347000,0.2421,-0.1758,0.2723,0.405
0.352000,0.2536,-0.2185,0.2083,0.394
0.357000,0.1970,-0.1869,0.1965,0.335
0.368000,0.2257,-0.1667,0.2498,0.376
0.370000,0.2579,-0.1610,0.2358,0.385
0.383000,0.2316,-0.1549,0.3153,0.421
0.384000,0.2304,-0.1654,0.2725,0.393
0.384000,0.2130,-0.1754,0.2707,0.387
0.387000,0.2395,-0.1761,0.2544,0.391
0.400000,0.2345,-0.2146,0.2216,0.388
0.403000,0.2265,-0.2092,0.2630,0.405
0.405000,0.2139,-0.2084,0.3028,0.425
0.408000,0.2483,-0.2396,0.2637,0.434
0.412000,0.2340,-0.2109,0.2669,0.413
0.417000,0.2018,-0.1963,0.2674,0.388
0.422000,0.2040,-0.2402,0.2843,0.424
0.433000,0.2155,-0.1928,0.2359,0.373
0.436000,0.2107,-0.1911,0.2015,0.349
0.438000,0.2053,-0.1391,0.2452,0.349
0.442000,0.1998,-0.1738,0.1523,0.305
0.447000,0.2116,-0.1783,0.2331,0.362
0.452000,0.1851,-0.1292,0.2072,0.306
0.457000,0.1991,-0.1420,0.2827,0.374
0.463000,0.1816,-0.2010,0.2904,0.397
0.467000,0.1825,-0.2050,0.3057,0.411
0.472000,0.2237,-0.2039,0.2392,0.386
0.478000,0.2512,-0.2003,0.2761,0.424
0.482000,0.2644,-0.2293,0.2703,0.442
0.487000,0.2336,-0.1622,0.2895,0.406
0.493000,0.2230,-0.2046,0.2699,0.406
0.498000,0.2112,-0.2019,0.2524,0.386
0.502000,0.2548,-0.2094,0.2803,0.433
0.512000,0.2197,-0.1630,0.2252,0.354
0.513000,0.2144,-0.1803,0.2746,0.392
0.518000,0.2038,-0.2159,0.2435,0.384
0.522000,0.1889,-0.1346,0.1934,0.302
0.528000,0.2165,-0.1516,0.2240,0.346
0.533000,0.1853,-0.1459,0.2702,0.359
0.538000,0.2314,-0.1838,0.2451,0.384
0.543000,0.2032,-0.1623,0.2625,0.370
0.548000,0.2435,-0.1755,0.2613,0.398
0.553000,0.2458,-0.2353,0.3011,0.454
0.558000,0.2133,-0.1963,0.2290,0.369
0.563000,0.1978,-0.2182,0.2275,0.372
0.568000,0.2383,-0.2070,0.2742,0.418
0.573000,0.2338,-0.1697,0.2207,0.364
0.578000,0.2321,-0.2332,0.2400,0.407
0.583000,0.2001,-0.1393,0.2622,0.358
0.588000,0.1964,-0.1896,0.2491,0.370
0.593000,0.2188,-0.1927,0.2623,0.392
0.598000,0.2001,-0.1569,0.2463,0.354
0.603000,0.1861,-0.1885,0.1831,0.322
0.608000,0.1870,-0.1601,0.2404,0.344
0.613000,0.2195,-0.1453,0.2970,0.397
0.618000,0.2153,-0.1185,0.3251,0.408
