time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009000,0.1298,0.0388,0.1096,0.174
0.009000,0.1191,-0.0019,0.0901,0.149
0.010000,0.1490,-0.0130,0.0633,0.162
0.010000,0.1341,0.0122,0.0877,0.161
0.010000,0.0963,0.0617,0.1028,0.154
0.011000,0.1205,0.0443,0.1157,0.173
0.011000,0.1277,0.0039,0.0956,0.160
0.012000,0.1564,0.0210,0.0625,0.170
0.012000,0.1488,0.0380,0.0531,0.162
0.016000,0.1020,0.0353,0.1021,0.149
0.031000,0.1078,0.0307,0.1116,0.158
0.031000,0.1118,0.0146,0.0933,0.146
0.031000,0.0985,0.0164,0.1113,0.150
0.036000,0.1031,0.0326,0.0939,0.143
0.041000,0.1258,0.0187,0.1031,0.164
0.046000,0.1097,0.0524,0.0858,0.149
0.051000,0.0896,0.0448,0.0690,0.122
0.056000,0.1033,0.0394,0.0936,0.145
0.061000,0.1080,0.0304,0.0948,0.147
0.067000,0.1012,0.0237,0.1057,0.148
0.071000,0.0989,0.0015,0.0794,0.127
0.076000,0.0773,0.0251,0.0321,0.087
0.081000,0.0955,0.0440,0.0839,0.135
0.086000,0.1175,0.0185,0.1078,0.161
0.091000,0.1133,0.0447,0.0866,0.149
0.097000,0.1236,0.0622,0.0892,0.165
0.101000,0.1347,0.0353,0.0966,0.169
0.107000,0.1289,0.0150,0.1009,0.164
0.111000,0.1301,0.0080,0.1113,0.171
0.116000,0.1264,0.0008,0.1098,0.167
0.122000,0.1177,0.0219,0.0984,0.155
0.126000,0.1152,0.0215,0.0682,0.136
0.131000,0.1181,0.0190,0.0536,0.131
0.137000,0.1200,0.0173,0.0852,0.148
0.141000,0.1125,0.0338,0.1057,0.158
0.146000,0.1004,0.0365,0.0884,0.139
0.151000,0.1083,0.0087,0.0820,0.136
0.156000,0.1052,0.0455,0.0914,0.147
0.161000,0.1108,0.0490,0.1254,0.174
0.167000,0.1249,0.0184,0.1367,0.186
0.171000,0.1203,0.0257,0.1057,0.162
0.176000,0.1084,0.0234,0.1128,0.158
0.182000,0.0915,0.0305,0.1084,0.145
0.187000,0.0962,0.0615,0.0795,0.139
0.192000,0.1011,0.0249,0.0932,0.140
0.198000,0.1241,0.0220,0.0898,0.155
0.201000,0.1305,0.0536,0.1202,0.185
0.207000,0.0966,0.0400,0.1251,0.163
0.212000,0.1068,0.0666,0.0626,0.141
0.217000,0.1251,0.0522,0.0671,0.151
0.222000,0.1197,0.0400,0.0587,0.139
0.227000,0.1333,0.0427,0.0412,0.146
0.232000,0.1395,0.0356,0.0453,0.151
0.239000,0.1252,0.0467,0.0881,0.160
0.242000,0.1307,0.0481,0.1144,0.180
0.247000,0.1355,0.0279,0.1048,0.174
0.252000,0.1159,-0.0083,0.1217,0.168
0.257000,0.1143,0.0147,0.1339,0.177
0.262000,0.1286,0.0550,0.1265,0.189
0.267000,0.1137,0.0656,0.1357,0.189
0.272000,0.0905,0.0489,0.1138,0.153
0.277000,0.0966,0.0190,0.0724,0.122
0.282000,0.0959,0.0165,0.1085,0.146
